Site,XS,VegXS,hec_station,hec_topo
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,0,498.393
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,4.339,497.917
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,11.017,496.593
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,11.802,496.147
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,12.413,495.881
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,12.845,495.641
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,13.281,495.477
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,14.026,495.365
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,14.505,494.948
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,14.941,494.674
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,15.305,494.45
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,15.384,494.372
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,15.644,494.157
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,15.848,493.972
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,16.306,493.821
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,17.008,493.729
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,17.385,493.642
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,17.947,493.678
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,18.649,493.709
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,19.129,493.59
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,19.55,493.577
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,20.324,493.752
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,21.18,493.929
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,21.96,494.034
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,22.24,494.152
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,22.44,494.418
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,22.991,494.613
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,23.422,494.687
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,24.9,494.982
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,26.103,495.049
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,28.272,495.586
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,28.965,496.096
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,29.384,496.389
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,31.26,497.756
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,36.884,499.532
Elkhead Creek 1,Elkhead Creek 1_XS154.4,VegXS,42.832,500.846
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,0,499.777
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,14.461,498.905
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,22.865,498.404
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,28.063,497.741
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,29.831,497.283
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,32.565,495.932
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,33.166,495.595
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,33.623,495.097
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,34.069,494.926
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,34.994,494.806
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,35.896,494.843
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,37.101,494.503
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,37.339,494.15
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,37.453,493.988
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,37.94,493.986
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,38.712,493.9
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,39.283,493.875
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,39.969,493.819
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,40.54,493.767
Elkhead Creek 1,Elkhead Creek 1_XS144.1,VegXS,41.396,493.842
