XS,z500,Q500,Site
Elkhead Creek 1_XS154.4,497.26,70,Elkhead Creek 1
Elkhead Creek 1_XS144.1,497.19,70,Elkhead Creek 1
Elkhead Creek 1_XS130.7,497.14,70,Elkhead Creek 1
Elkhead Creek 1_XS113.6,497.01,70,Elkhead Creek 1
Elkhead Creek 1_XS86.9,496.83,70,Elkhead Creek 1
Elkhead Creek 1_XS64.9,496.6,70,Elkhead Creek 1
Elkhead Creek 1_XS59,496.13,70,Elkhead Creek 1
Elkhead Creek 1_XS50.5,495.96,70,Elkhead Creek 1
Elkhead Creek 1_XS38.9,495.83,70,Elkhead Creek 1
Elkhead Creek 1_XS21.9,495.71,70,Elkhead Creek 1
Elkhead Creek 1_XS9.4,495.56,70,Elkhead Creek 1
Elkhead Creek 1_XS0,495.38,70,Elkhead Creek 1
Elkhead Creek 2_XSUP17.3,495.47,70,Elkhead Creek 2
Elkhead Creek 2_XSUP11.3,495.09,70,Elkhead Creek 2
Elkhead Creek 2_XSUP0,494.21,70,Elkhead Creek 2
Elkhead Creek 2_XSR106.3,493.85,70,Elkhead Creek 2
Elkhead Creek 2_XSR92.7,493.44,70,Elkhead Creek 2
Elkhead Creek 2_XSR69.3,492.83,70,Elkhead Creek 2
Elkhead Creek 2_XSR52.6,492.48,70,Elkhead Creek 2
Elkhead Creek 2_XSR41.8,492.14,70,Elkhead Creek 2
Elkhead Creek 2_XSR27.5,491.73,70,Elkhead Creek 2
Elkhead Creek 2_XSR16.3,491.51,70,Elkhead Creek 2
Elkhead Creek 2_XSR5.1,491.38,70,Elkhead Creek 2
Elkhead Creek 2_XSR0,491.16,70,Elkhead Creek 2
Elkhead Creek 2_XSL116.8,493.86,70,Elkhead Creek 2
Elkhead Creek 2_XSL104.4,493.61,70,Elkhead Creek 2
Elkhead Creek 2_XSL71,492.79,70,Elkhead Creek 2
Elkhead Creek 2_XSL52,492.2,70,Elkhead Creek 2
Elkhead Creek 2_XSL36.4,492.19,70,Elkhead Creek 2
Elkhead Creek 2_XSL22.5,491.47,70,Elkhead Creek 2
Elkhead Creek 2_XSL16.8,491.42,70,Elkhead Creek 2
Elkhead Creek 2_XSL8.5,491.25,70,Elkhead Creek 2
Elkhead Creek 2_XSL0,491.1,70,Elkhead Creek 2
Hog Park Gorge_XS132.3,152.81,13.88,Hog Park Gorge
Hog Park Gorge_XS115.8,152.7,13.88,Hog Park Gorge
Hog Park Gorge_XS105.4,152.62,13.88,Hog Park Gorge
Hog Park Gorge_XS96.9,152.5,13.88,Hog Park Gorge
Hog Park Gorge_XS83.3,152.2,13.88,Hog Park Gorge
Hog Park Gorge_XS77,152.09,13.88,Hog Park Gorge
Hog Park Gorge_XS64.6,151.97,13.88,Hog Park Gorge
Hog Park Gorge_XS48,151.72,13.88,Hog Park Gorge
Hog Park Gorge_XS41.4,151.64,13.88,Hog Park Gorge
Hog Park Gorge_XS28.2,151.35,13.88,Hog Park Gorge
Hog Park Gorge_XS15.1,151.13,13.88,Hog Park Gorge
Hog Park Gorge_XS0,150.9,13.88,Hog Park Gorge
Hog Park Site 1_XS112.7,152.41,13.88,Hog Park Site 1
Hog Park Site 1_XS106.1,152.35,13.88,Hog Park Site 1
Hog Park Site 1_XS97.6,152.29,13.88,Hog Park Site 1
Hog Park Site 1_XS92,152.28,13.88,Hog Park Site 1
Hog Park Site 1_XS86,152.27,13.88,Hog Park Site 1
Hog Park Site 1_XS81.7,152.17,13.88,Hog Park Site 1
Hog Park Site 1_XS74.7,152.14,13.88,Hog Park Site 1
Hog Park Site 1_XS64.7,152.05,13.88,Hog Park Site 1
Hog Park Site 1_XS53.1,151.97,13.88,Hog Park Site 1
Hog Park Site 1_XS48.1,151.92,13.88,Hog Park Site 1
Hog Park Site 1_XS39.8,151.92,13.88,Hog Park Site 1
Hog Park Site 1_XS36.1,151.91,13.88,Hog Park Site 1
Hog Park Site 1_XS31.2,151.9,13.88,Hog Park Site 1
Hog Park Site 1_XS26,151.87,13.88,Hog Park Site 1
Hog Park Site 1_XS18.1,151.81,13.88,Hog Park Site 1
Hog Park Site 1_XS8.6,151.8,13.88,Hog Park Site 1
Hog Park Site 1_XS0,151.78,13.88,Hog Park Site 1
Hog Park Site 2_XS201.4,152.51,13.88,Hog Park Site 2
Hog Park Site 2_XS189,152.47,13.88,Hog Park Site 2
Hog Park Site 2_XS179,152.4,13.88,Hog Park Site 2
Hog Park Site 2_XS171.4,152.38,13.88,Hog Park Site 2
Hog Park Site 2_XS164.6,152.36,13.88,Hog Park Site 2
Hog Park Site 2_XS157.9,152.31,13.88,Hog Park Site 2
Hog Park Site 2_XS149.2,152.29,13.88,Hog Park Site 2
Hog Park Site 2_XS138.6,152.27,13.88,Hog Park Site 2
Hog Park Site 2_XS120.9,152.16,13.88,Hog Park Site 2
Hog Park Site 2_XS102.9,152.07,13.88,Hog Park Site 2
Hog Park Site 2_XS88.8,152,13.88,Hog Park Site 2
Hog Park Site 2_XS73.1,151.92,13.88,Hog Park Site 2
Hog Park Site 2_XS48.7,151.73,13.88,Hog Park Site 2
Hog Park Site 2_XS36.1,151.73,13.88,Hog Park Site 2
Hog Park Site 2_XS21,151.66,13.88,Hog Park Site 2
Hog Park Site 2_XS10.8,151.6,13.88,Hog Park Site 2
Hog Park Site 2_XS0,151.55,13.88,Hog Park Site 2
Lower North Brush_XS116.1,501.01,56.8,Lower North Brush
Lower North Brush_XS107.2,500.95,56.8,Lower North Brush
Lower North Brush_XS99.1,500.73,56.8,Lower North Brush
Lower North Brush_XS84.6,500.38,56.8,Lower North Brush
Lower North Brush_XS75.8,500.12,56.8,Lower North Brush
Lower North Brush_XS51.9,500.05,56.8,Lower North Brush
Lower North Brush_XS30.6,499.32,56.8,Lower North Brush
Lower North Brush_XS20.8,499.01,56.8,Lower North Brush
Lower North Brush_XS12.6,498.92,56.8,Lower North Brush
Lower North Brush_XS0,498.69,56.8,Lower North Brush
MI River_XS49.2,94.47,5.87,MI River
MI River_XS44.7,94.33,5.87,MI River
MI River_XS39.2,94.32,5.87,MI River
MI River_XS34.8,94.06,5.87,MI River
MI River_XS31.6,93.97,5.87,MI River
MI River_XS27.2,93.9,5.87,MI River
MI River_XS23.3,93.78,5.87,MI River
MI River_XS19.2,93.77,5.87,MI River
MI River_XS11.9,93.58,5.87,MI River
MI River_XS7.7,93.45,5.87,MI River
MI River_XS4.3,93.3,5.87,MI River
MI River_XS0,93.21,5.87,MI River
N. Brush_XS164.2,99.93,56.8,N. Brush
N. Brush_XS140.1,99.3,56.8,N. Brush
N. Brush_XS132.5,99.16,56.8,N. Brush
N. Brush_XS104.8,98.7,56.8,N. Brush
N. Brush_XS87.6,98.55,56.8,N. Brush
N. Brush_XS79.9,98.28,56.8,N. Brush
N. Brush_XS61.8,97.94,56.8,N. Brush
N. Brush_XS11.9,97.14,56.8,N. Brush
N. Brush_XS0,96.86,56.8,N. Brush
Encampment_XS1,502.47,76.4,Encampment
Encampment_XS2,502.13,76.4,Encampment
Encampment_XS3,501.91,76.4,Encampment
Encampment_XS4,501.5,76.4,Encampment
Encampment_XS5,501.26,76.4,Encampment
Encampment_XS6,500.94,76.4,Encampment
Encampment_XS7,500.6,76.4,Encampment
Encampment_XS8,500.04,76.4,Encampment
Encampment_XS9,499.85,76.4,Encampment
Encampment_XS10,499.58,76.4,Encampment
Encampment_XS11,499.52,76.4,Encampment
Rock Creek_XS100,101.24,109.51,Rock Creek
Rock Creek_XS99,100.89,109.51,Rock Creek
Rock Creek_XS98,100.33,109.51,Rock Creek
Rock Creek_XS97,100.02,109.51,Rock Creek
Rock Creek_XS96,99.83,109.51,Rock Creek
Rock Creek_XS95,99.35,109.51,Rock Creek
Rock Creek_XS94,99.08,109.51,Rock Creek
Rock Creek_XS93,98.82,109.51,Rock Creek
Rock Creek_XS92.5,97.57,109.51,Rock Creek
Rock Creek_XS92,97.6,109.51,Rock Creek
Rock Creek_XS91,97.55,109.51,Rock Creek
Rock Creek_XS90.5,97.12,109.51,Rock Creek
Rock Creek_XS90,96.14,109.51,Rock Creek
Rock Creek_XS89,95.75,109.51,Rock Creek
Rock Creek_XS88,95.34,109.51,Rock Creek
Rock Creek_XS86,94.72,109.51,Rock Creek
Rock Creek_XS85,94.47,109.51,Rock Creek
Rock Creek_XS84.5,93.84,109.51,Rock Creek
Rock Creek_XS84,93.97,109.51,Rock Creek
Rock Creek_XS83.5,93.78,109.51,Rock Creek
Rock Creek_XS83,93.34,109.51,Rock Creek
Rock Creek_XS82,93.12,109.51,Rock Creek
Rock Creek_XS81,92.73,109.51,Rock Creek
